_id,mname,tag,mlength,releaseday,isSequel,type,region,distributor,boxoffice_tot,boxoffice_pm,boxoffice_1std,boxoffice_1stw,boxoffice_1stwk
643220,通灵姐妹,惊悚 恐怖,90,2017/3/17,0,2D,中国,东阳四月天,4710000,5000,763000,2180000,1410000
657877,金刚：骷髅岛,动作 奇幻 冒险,119,2017/3/24,0,3D IMAX 2D,美国,中影 华夏,1160000000,9340000,151000000,503000000,343000000
654668,欢乐喜剧人,喜剧 真人秀,87,2017/3/24,0,2D,中国,影联传媒 星美影视发行 春秋永乐影视...,67000000,77000,19200000,49100000,29800000
655812,八月,剧情 怀旧,110,2017/3/24,0,2D,中国,爱奇艺影业,4370000,49000,726000,2330000,1570000
652766,领袖1935,战争 军事,104,2017/3/28,0,2D,中国,中影 潇影第二影业 天尚文化,1300000,14000,132000,455000,99000
641155,嫌疑人X的献身,剧情 犯罪 悬疑,112,2017/3/31,0,2D,中国,光线影业 青春光线 猫眼文化,402000000,1190000,46500000,161000000,114000000
655350,非凡任务,动作 剧情 枪战 犯罪,122,2017/3/31,0,2D,中国/中国香港,完美影视 华策影业（天津） 华夏...,156000000,1240000,14300000,58700000,44400000
657339,绑架者,动作 犯罪,95,2017/3/31,0,2D,中国,三月谷雨 五洲电影 淘票票...,95700000,418000,16600000,44700000,27900000
658999,冰雪大作战,动画 喜剧 亲情,83,2017/4/1,0,3D 2D,加拿大,中影,43200000,26000,2820000,11700000,11700000
653966,有完没完,喜剧 剧情,99,2017/4/1,0,2D,中国,恒业影业（北京） 福建恒业,37400000,206000,8060000,15000000,14900000
643219,怨灵宿舍之白纸女生,惊悚 恐怖,87,2017/4/1,0,2D,中国,东阳四月天,2690000,7000,480000,902000,895000
657795,攻壳机动队,科幻 动作,107,2017/4/7,0,3D IMAX,美国,中影 华夏,203000000,2320000,49700000,149000000,96600000
662059,一念无明,剧情 亲情,103,2017/4/7,0,2D,中国香港,浙江博纳影视,9410000,11000,880000,3830000,2940000
655877,点五步,剧情 运动,96,2017/4/7,0,2D,中国香港,紫禁城三联,3740000,8000,579000,1800000,1220000
629871,大话西游之大圣娶亲,喜剧 动作 冒险 爱情,95,2017/4/13,1,2D,中国/中国香港,华夏 影联传媒,189000000,14200000,16600000,107000000,62000000
